"Mobile cellular subscriptions, total number",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,"tablets_sell_2009","tablets_sell_2010","tablets_sell_2011","GDP_2009","GDP_2010","GDP_2011","population2011"
Slovenia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,3500,6500,16332,27301,41205,93611,161606,631411,1215601,1470085,1667234,1739146,1848637,1759232,1819572,1928412,2054899,2100435,2121950,2168548,15663,17318,25270,22947026192,23866572258,25262671897,2024040
Solomon Islands,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,230,337,658,702,1093,1151,967,999,1060,3000,6000,7000,10900,30000,50000,150000,274872,147,2668,833,434774351,458344309,490183884,524125
Somalia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000,85000,100000,200000,500000,500000,550000,600000,627000,641000,648200,655000,3782,2534,13692,0,0,0,9119848
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
South Africa,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3980,5680,7100,12510,40000,340000,535000,953000,1836000,3337000,5188000,8339000,10787000,13702000,16860000,20839000,33959958,39662000,42300000,45000000,46436000,50372000,64000000,108803,868801,642620,152328632239,160367192374,169353717106,49751503
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
Spain,0,,,,,0,,,,,0,0,0,0,0,0,0,0,,,,1700,4200,11628,29783,54700,108451,180296,257261,411930,944955,2997645,4337696,6437444,15003708,24265059,29655729,33530997,37219839,38622582,42694115,45695061,48422470,49623339,51083880,51601028,53066828,170379,1001101,384143,657800500119,681373742384,709148044936,45638113
Sri Lanka,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,1800,2644,14687,29182,51316,71029,114888,174202,256655,430202,667662,931403,1393403,2211158,3361775,5412496,7983489,11082454,16305417,17359312,18319447,33694,185888,287905,18673120685,19838649830,21359771931,20669142
Sudan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,3800,8600,13000,23000,103846,190778,527233,1048558,1827940,4683127,8218092,11991469,15339895,18093231,25107343,3363,206583,631625,15088237417,16042683061,17854598587,33537455
Suriname,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078,1382,1687,2416,2258,6007,17500,41048,87000,108363,168522,212819,232785,320000,380000,657106,763912,890000,947000,7586,6481,1796,1126695731,1178026322,1223312567,519861
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
Swaziland,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4700,14000,33000,55000,68000,85000,145000,200000,250000,380000,531643,664432,725802,766540,5896,11037,7213,1651311226,1691988459,1747867421,1168345
Sweden,0,,,,,0,,,,,0,0,0,0,0,0,20362,27236,36294,57914,73000,112600,173000,243000,349000,461200,568200,656000,774500,1381000,2008000,2492000,3169000,4109000,5126000,6372300,7178000,7949000,8801000,8785000,9104000,9607000,10116852,10014000,10440000,10885406,11194000,86687,41621,20071,273713195657,282364681257,294498396948,9311110
Switzerland,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,5475,30768,72735,125047,174557,215061,257703,332165,447167,662713,1044379,1698565,3057509,4638519,5275791,5736303,6189000,6274763,6834233,7436157,8208884,8896706,9322580,9644157,10017000,62549,121772,286815,259834269511,266695570076,276377653102,7621211
Syria,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,30000,200000,400000,1185000,2346000,2950000,4675000,6234682,7056158,10021861,11799212,13117253,30374,118957,112813,23154259254,24589823328,25819314494,20053743
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,22974000
Tajikistan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,320,420,625,1160,1630,13200,47617,135000,265000,2150000,2132770,3673520,4900000,5940842,6324000,48994,14966,116977,1261012321,1393235591,1175016606,6783390
Tanzania,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,3500,9038,20200,37940,50950,110518,275560,606859,1298000,1942000,2964000,5609000,8252000,13006793,17469486,20983853,25666455,87243,137589,344052,13335003311,14317775888,15282420026,43524738
Thailand,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,821,5882,17563,39936,63223,123551,250584,413557,737283,1297826,1844627,2203905,1976957,2339401,3056000,7550000,10171550,21828181,27378659,31136541,40723181,52973994,61837164,65952313,71624172,78667910,66874,562596,408912,150456640790,157384716142,165400160325,68706122
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,20058,25722,33072,49100,78215,125002,350891,600600,614151,1390,10910,4672,295700000,314100000,304215734,1099887
Togo,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2995,7500,17000,50000,95000,165138,243613,332565,433635,708000,1190319,1549542,2187334,2452433,3104839,931,38157,4653,1352000397,1367959503,1423394866,5901859
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1136
Tonga,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,302,120,130,140,180,236,3354,11200,16400,29872,30051,46525,50472,53000,54300,55000,399,1048,794,210125331,208129394,208373017,103519
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
Trinidad and Tobago,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,1277,1679,2599,6353,9534,17140,26307,38659,161860,256106,262772,336352,651189,924100,1518800,1509800,1806120,1846345,1894240,1825200,15883,32105,7520,11320593595,11973198489,13553660689,1336349
Tunisia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,,,224,401,636,953,1239,1974,2269,2709,3185,6500,7656,38998,55258,119165,389208,574334,1917530,3735695,5680726,7339047,7842619,8602164,9797026,11114206,12387656,37954,99059,328823,25589278230,26612888891,28117653870,10365089
Turkey,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,365,5101,9846,15606,31809,47828,61395,84187,174779,437130,806339,1609809,3506127,8121517,16133405,19572897,23323118,27887535,34707549,43608965,52662700,61975807,65824110,62779554,61769635,65321745,585354,881055,38328,307228800117,333040988667,355999132580,71846212
Turkmenistan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,3000,4000,7500,8173,8173,9187,50100,105000,216868,381670,1135150,2132890,3197624,3511000,5212,59291,53167,5559183156,6281876966,6998010941,4979672
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,37271
Tuvalu,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,1300,1600,1800,,1000,1600,2130,1,32,45,15905983,15253888,15648727,9806
Uganda,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1747,4000,5000,30000,56358,126913,283520,393310,776169,1165035,1315300,2008818,4195278,8554864,9383734,12828264,16696992,93069,151497,146784,8055045270,8565136257,9488864309,32367909
Ukraine,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,5000,14000,30000,57200,115500,216567,818524,2224600,3692700,6498423,13735000,30013500,49076239,55240400,55681476,54942815,53919545,55566881,450208,966914,443518,44042453610,45231599857,48533506647,45715010
United Arab Emirates,,,,,,,,,,,,,,,,,,2330,3564,4936,7924,11191,13711,13823,24946,33578,43008,48919,70586,91488,128968,193834,309373,493278,832267,1428115,1909303,2428071,2972331,3683117,4534143,5519293,7731508,9357735,10671878,10926019,11727401,94895,56738,174867,129188651376,135460942808,148879963946,6938815
United Kingdom,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,50000,130000,290000,560000,975000,1114000,1260000,1507000,2268000,3940000,5735785,7248355,8841000,14878000,27185000,43452000,46283000,49228000,54256221,59687915,65471665,70077926,73836210,76735443,80255445,81115492,81612000,791709,1292740,228836,1667227104395,1702001557851,1746374722576,61652315
United States,0,,,,,0,,,,,0,0,0,0,0,0,,,,91600,340213,681825,1230855,2069441,3508944,5283055,7557148,11032753,16009461,24134421,33785661,44042992,55312293,69209321,86047003,109478031,128500000,141800000,160637000,184819000,203700000,229600000,249300000,261300000,274300000,278900000,331600000,2523842,3138096,4964607,10813707774621,11146296666995,11442690235793,307686729
Uruguay,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1712,4969,6825,39904,78601,99235,151341,319131,410787,519991,513528,497530,599768,1154923,2330011,3004323,3507816,4111560,4437158,4757425,4548,82568,40956,21433558291,23032530046,23976536117,3357391
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
Uzbekistan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,902,3731,9510,17232,26826,40389,53128,128012,186900,320815,544100,720000,2530365,5691458,12375274,16417914,20952000,25441789,88522,215635,268821,16734576796,17905997172,19213134965,27128063
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,13698
Vanuatu,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,121,154,207,220,300,365,350,4900,7800,10504,12692,15000,26000,36000,126452,285300,,508,5238,0,272033735,286308873,307381998,233790
Venezuela,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,3685,7422,16600,78560,182600,319000,403800,581700,1071900,2009757,3784735,5447172,6472584,6541894,7015121,8420980,12495721,18789466,23820133,27414377,28123570,27880132,28781999,102894,460828,551622,120458247112,132887025220,146005830495,28519913
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,,,,,,7076,175941,251602,264091,436628,567584,821800,1021481,1314406,1800000,,,13652,0,0,3552819407,3775940953,0,3930672
West Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,513367
Vietnam,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,4060,12500,23500,68910,160457,222700,328671,788559,1251195,1902388,2742000,4960000,9593200,18892480,45024048,74872310,98223980,111570201,127318045,827150,1051532,275915,41283942096,44769045610,48453031029,86901173
Virgin Islands (U.S.),0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,16000,25000,30000,35000,41000,45150,49300,64200,80300,,,,,,,0,0,0,0,0,0,109216
North Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,#N/A
South Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,#N/A
Yemen,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550,5170,8191,8250,8810,12245,16146,27677,32042,147837,486667,675162,1476000,2277559,2977781,4349000,6445000,8313000,11085000,11668000,49091,157111,197147,11214608928,11841701606,12217132024,#N/A
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
Zambia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1547,2721,4550,8260,28190,98853,121200,139092,241000,464354,949559,1663328,2639026,3539003,4406682,5446991,8164553,12576,2945,198387,3885776053,4093330085,4348147615,12723746
Zimbabwe,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5734,19000,174000,266441,314002,338779,363651,425745,647110,849146,1225654,1654721,3991000,7700000,9200000,7016,26320,113882,4833901971,4557833784,4400064590,12473992
