"Mobile cellular subscriptions, total number",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,"tablets_sell_2009","tablets_sell_2010","tablets_sell_2011","GDP_2009","GDP_2010","GDP_2011","population2011"
El Salvador,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632,4868,13475,23270,40163,137114,511365,743628,857782,888818,1149790,1832579,2411753,3851611,6137381,6950703,7566245,7700336,7837000,34879,11700,229934,14244514235,14752019854,15329111295,6160423
Equatorial Guinea,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,300,297,600,5000,15000,32000,41500,61900,96900,120000,150000,180000,200000,399290,426000,1260,4014,2837,3814668806,4186550477,4239290429,681115
Eritrea,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,40438,61996,84348,108631,141130,185275,241939,173,3286,4500,781506494,801558442,793870130,5097998
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
Estonia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,2498,7224,13774,30452,69500,144200,247000,387000,557000,651200,881000,1050241,1255731,1445300,1658700,1681849,1624465,1570538,1652809,1863120,7599,1255,52673,7365818095,8017950552,8827550545,1341629
Ethiopia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6740,17757,27500,50369,51324,155534,410630,866700,1208498,1954527,4051703,6854000,14126659,31325,73954,205210,9992543572,11173546750,12384159131,81187751
Faeroe Islands,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1429,1718,1605,1960,2558,3265,4701,6516,10761,16971,24487,34737,38026,41298,42032,49965,52169,54860,56993,59446,,475,352,0,0,0,0,48625
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,#N/A
Fiji,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,2200,3700,5200,8000,23380,55057,80933,89900,109882,142190,205000,284661,530048,600000,640000,697920,727000,3796,4315,11237,1885384805,1898582498,1933591137,852323
Finland,0,,,,,0,,,,,0,0,0,0,0,23482,28278,33880,42226,52010,67639,85300,105860,138160,190031,257872,319137,386021,489174,675565,1039126,1502003,2162574,2845985,3273433,3728625,4175587,4516772,4747126,4988000,5270000,5670000,6080000,6830000,7700000,8390000,8940000,51253,10434,40333,134751243781,138680670720,144797309748,5341546
